Title,Author,Body,URL
Man jailed for 34 years over Sta Luċija murder,Times of Malta,"A 41-year-old man was sentenced to 34 years imprisonment on Thursday after pleading guilty to the murder of Victor McKeon in a Sta  Luċija apartment four years ago. Samir Almiri, 34, a Libyan national who used to live with the victim, was extradited from Morocco to face trial and pleaded guilty after a plea bargain. McKeon, 62, was found lying on the bathroom floor covered head to toe in garbage bags. He had a deep laceration on his head probably caused by a sharp and pointed instrument and died from suffocation. His body was identified through DNA testing.   Lawyer Daniel Attard assisted the accused.    You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/man-jailed-34-years-sta-lucija-murder.1085440
"Decriminalise failure to pay alimony, parents rights lobby says",Daniel Ellul,"A parents rights lobby has called on the government to decriminalise failure to pay alimony payments.  Carrying placards stating 'parents are not just your ATM' and 'every child deserves to love both parents', around 20 members of Happy Parenting Malta protested outside parliament on Thursday They had earlier participated in a parliamentary conference about a wide range of social issues.  Anthony Cauchi, founder of the group, said jailing people over alimony does not benefit anyone and those who do not pay should be helped and not put in prison.    Another member of the group told Times of Malta how he was jailed for failing to pay alimony whilst in jail. Cauchi said the court is presiding over injustices as parents are sometimes forced to pay “financially breaking” maintenance payments and barely get to see their children following court judgements.  “Children have a right and need to have both parents play an active role in their lives. We need to introduce the idea of shared parenting into law,” he said. He said the psychological trauma of being alienated from their children has driven some parents to suicide and others to suffer severe psychological trauma.   Lawyers often “take advantage of families” and convince their clients to “take everything from their ex-partner” for their own financial benefit, Cauchi said.  Parents having access to their children only through supervised visits was also unjust, especially when there has been no court judgment on the parent, he said.  “Supervised visits are sending a message to children that their parent is bad or evil”,"" he said. On Monday, justice minister Jonathan Attard said his ministry was working on a legislative reform to tackle parental alienation.  He told parliament that a working group is at a “very advanced stage” and said that a public consultation document on reforms to the family court will soon be published.  “We don’t only want to strengthen the specialisation of the family court, but also to create new structures that can guarantee more effective and efficient justice which is in the best interest of minors,” he said. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/decriminalise-failure-pay-alimony-parents-rights-lobby-says.1085431
Ħal Far race track upgrade gets PA’s green light,Matthew Xuereb,"An application to upgrade the existing drag racing strip in Ħal Far to bring it in line with international safety standards, making it ideal for international events, has been given the Planning Authority’s green light. Among other things, the project will see the extension of the track by 60 metres to allow more braking space as well as the introduction of several safety features including safety walls and a safety barrier between the track and spectators. The approved changes include the demolition and reconstruction of the spectator stands, tripling seating capacity to 3,000, with underlying ancillary facilities such as changing rooms, stores, sanitary facilities, and a shop. The existing control tower will be demolished and moved back by 60 metres to achieve the braking space. The tower will be reconstructed and will include stores, administration offices, two shops, club rooms, a multipurpose hall, VIP hospitality, and a commentary box. The new project will also see the construction of four garages and an extension of the safety barriers. The project's architect, Valerio Schembri, explained that the track is used for 16 events every year and its upgrade will place it on the international calendar. The changes were addressing safety issues flagged by German experts. The site has an approximate area of almost 70,000 square metres and currently consists of an existing drag racing strip operated by the Malta Motorsport Federation. It is located outside the development zone. A major part of the site is designated as a sports facility. Nicholas Barbara from the NGO Birdlife expressed surprise at the no objection given by the Environment and Resources Authority which said that there were no environmental concerns. The site is close to a Natura 2000 site so environmental screening was mandatory, he said. Ħal Far is the area that is affected by most light pollution, he said. Did anyone bother asking about the lighting scheme and the traffic impact of such a project, he asked.   Schembri replied that only one event is held under artificial lighting, towards the end of August. PA chairman Emanuel Camilleri proposed enhanced mitigation measures for light pollution as well as additional noise mitigation measures. NGO representative on the PA board, Romano Cassar, expressed doubts on how the 16 events a year would not increase if the racing track was being upgraded to be brought in line with international standards. He voted against the project while the rest of the board voted for. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/hal-far-race-track-upgrade-gets-pa-green-light.1085425
"Mqabba ODZ land to become warehouses, solar farm",Matthew Xuereb,"A large site in Mqabba, the size of two football grounds, will be turned into a complex of 28 warehouses after the Planning Authority gave its blessing to the project. Mqabba mayor Grace Marie Zerafa was the only board member to vote against, insisting that if quarries were to be allowed to become an industrial zone, then the locality will become another industrial area. Spearheaded by Carmel Mangion of Mangion Brothers, who have been involved in the quarrying business for more than four decades, the project will introduce industrial development in a quarry that was partly backfilled over the years with inert waste. The site, which measures approximately 12,500 square metres, is in an area known as Tas-Sejba and Tal-Modorbu, on the outskirts of Mqabba and Qrendi. The site is located around 180 metres from the development zone boundary of Mqabba and around 250 metres from the development zone boundary of Qrendi. The development includes constructing 28 industrial and warehousing units, with overlying PV panels, 117 parking spaces and landscaping within the disused quarry. It was recommended for approval. An outline development permit for the same proposal had already been granted by the Planning Authority in April 2022. The site is surrounded by other warehousing units as well as a large solar farm on an adjacent site. The Environment and Resources Authority objected to the project, reiterating the same position it had taken on the outline permit. It argued that the disused quarry ought to be backfilled and covered in soil so the site is restored to its original pristine state. According to the plans, a total of around 3,420 square metres of roof space overlying the warehouses will be allocated for a photovoltaic installation. The PV modules will be mounted at 10 degrees, having an elevated height at the highest point of circa 75cm. A total of 87 new olive trees will be planted according to the landscaping plan and an €8,700 bank guarantee will be imposed to ensure the implementation and maintenance of the landscaping scheme. Moreover, to compensate for the impact of the development, which is situated outside the development zone, the developer has been asked to make a financial planning contribution towards the Planning Fund of €130,000. During Thursday’s Planning Board meeting, PA chairman Emanuel Camilleri expressed concerns about the limited traffic circulation within the site, proposing a ring road with the site to allow for trucks to manoeuvre comfortably. He also suggested planting different trees to serve as a better visual buffer. The project’s architect, Ludovico Micallef, said that the works will be completed in about 15 months, which would include site clearance, construction and finishing works. He said that around 11,000 cubic metres of inert waste generated by the project will be used to fill the site. The project was approved with 11 votes in favour and one against. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/mqabba-odz-land-warehouses-solar-farm.1085419
"'We work and pay taxes': migrants to protest, demand social rights and residency",Sarah Carabott,"Migrants who have been living and working in Malta for several years will hold a protest on Sunday calling for policy changes that would grant them and their children born in Malta residency, social rights and stability. ""Although we were neither given protection nor a residence card, we were given the right to work legitimately and in turn to pay tax and national insurance for decades,” they said on Thursday, backed by several activists. ""We have worked for years, side-by-side with our Maltese colleagues, made friends, set up family and had children in Malta. We are part of Malta’s economic success, we have filled labour gaps, and we have contributed to a welfare system that we can never be beneficiaries of.""  RELATED STORIES  The third-country nationals added: ""Our children know no other country, no other society but the Maltese one. They are, in fact, though not in law, Maltese.” They explained they lived in constant fear of having their documents withdrawn, leaving them vulnerable to deportation, exploitation and unpredictability about their future. The march is being held after Times of Malta published the story of Kusi Dismark, a man who has been detained to be deported after 13 years in Malta. As a person who has been denied asylum, Kusi was allowed to work in Malta and pay his dues but had no access to free education. He financed his studies, opened a hair salon in Ħamrun and was planning on expanding his business until he was arrested on January 21. Kusi’s sudden detention sent shockwaves among his circle of friends, Maltese landlords and civil society. But he is not the only one in this situation. Malta has a right to return people who are rejected protection. However, not all are repatriated. Some countries of origin fail to provide official documentation for those handed a removal order or refuse to recognise the migrants’ claimed nationality. Additionally, Malta might not have diplomatic relations with their claimed country of origin. This means that people live years – even decades – in Malta with the threat of deportation hanging over their heads. Most people who are denied asylum are allowed to work in Malta and are obliged to pay tax and social contributions but have no access to free education. While working, they have access to healthcare but no social protection. This means that if they are injured, taken ill or can no longer be gainfully employed, they will not receive any social, medical or unemployment benefits. They are similarly not entitled to a pension once they reach retirement age. People with rejected asylum are not allowed to marry, even if they enter into loving relationships and form a family of their own. Children born in Malta to parents who have been rejected asylum inherit their parents’ lack of documentation, have no social protection and are technically stateless. The people organising Sunday’s protest, who identify as “long-term undocumented migrants in Malta” said they were not asking for any special treatment. “We are simply demanding stability: the recognition of years of hard work, integration efforts, and contribution to Maltese society. There is nothing fair or just in leaving us and our children in this state of uncertainty and fear. There is no equality without equity.” On Sunday, members of the migrant community and local organisations will be meeting at Ħamrun Square at 3pm and walk to the parliament building in Valletta. They are urging employers, neighbours, colleagues and friends who support the cause to join the march.  RELATED STORIES  The Church’s Migrants Commission director has separately called for immigration policies that are fair to hundreds of people who, through no fault of their own, have been allowed to live and work here for several years despite not being granted asylum. Fr Anton D’Amato said despite the removal of a person is legal, “it is definitely not just”.   The migrants' statement is endorsed by: You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/we-work-pay-taxes-migrants-protest-demand-social-rights-residency.1085164
"Grant citizenship to children born and brought up in Malta, parliament urged",Sarah Carabott,"Politicians were on Thursday urged to consider small legislative changes that would allow children born and brought up in Malta a right to citizenship. ""Stateless people are denied a legal identity, access to education, housing, healthcare, job opportunities and even a death certificate so that they can be buried. ""Statelessness is inherited from one generation to another, so a stateless person ends up existing but not living,"" senior lecturer at the University of Malta George Vital Zammit said.   ""There are children who were born in Malta, went to school in Malta, speak Maltese, lived all their life in Malta, are good in sports but cannot represent Malta as they have no citizenship... And then we advertise the selling of citizenship."" According to recent data, there are at least 171 stateless people in Malta, almost half of them aged under nine. Among others, children born in Malta to parents who have been rejected asylum inherit their parents’ lack of documentation, have no social protection and are technically stateless. Vital Zammit was speaking at a conference about social justice, organised by a team led by PN MP Ivan Bartolo. ""Is it time to revisit the absolute discretion of the minister [when it comes to granting citizenship]?... Parliament can - through small changes in the law and guidelines - allow people to live in dignity,"" he said, adding that ctizenship was a fundamental right. The conference, presided by Speaker Anġlu Farrugia, is a culmination of events that included the tabling of a private member's bill to shift to an ""opt-out"" organ donation system. The conference was addressed by several members of civil society facing issues of housing, the widening social gap, and homelessness among others. Ramona Vassallo, 52, spoke of the ""worst experience"" of her life when she ended up homeless two years ago. ""I'm suffering the consequences of my past drugs addiction,"" she said, adding that she was unable to work because of disability issues, so the little money she had was spent on food for herself and a homeless dog that was her only companion. She said that while she does not beg for money, she sometimes collects empty bottles from the trash to collect funds through the BCRS scheme and can afford food.   However, she is often made fun of while looking for bottles. Vassallo said that her police conduct and her pet made it extremely challenging to find shelter. As a female homeless person, she has suffered threats and was also beaten up on the streets: ""It's not safe for me outside, but when I tried to hide in abandoned buildings, I was fined €4,000 for squatting"". ""I do not wish for anyone - especially women - to end up homeless."" Several of those who addressed the conference spoke about judicial injustice. Anthony Cauchi, from the NGO Parental Alienation - Malta, noted that his association was holding a protest in Valletta on Thursday to raise awareness about the plight of parents who were denied access to their children. Cauchi called for urgent action that would no longer see alienated parents and children of couples who were separating having to turn up at court while the issue was resolved. ""Their place is not the court halls. They need a place that allows them to heal,"" he said. Cauchi also urged for access and alimony to be decriminalised: sending a parent to jail not only negatively impacted the parent, but also saw their children suffer stigma. Gżira mayor Konrad Borg Manché similarly noted that alimony and lack of access to children often broke people down. One of his clients, he said, was only allowed to see his children once every fortnight. Kenneth Grima, the father of Matteo Grima - a victim of a traffic accident - said his family had lost all trust in the authorities and the justice system. Matteo, who is now 22, was hit by a car in April 2020. The driver was cleared of the charges last year, since the two-year time window to face justice had elapsed. Sixty-four-year-old Raymond Camilleri was acquitted of all charges after Magistrate Yana Micallef Stafrace ruled that the charges were time-barred. ""It is shameful and unacceptable that a system meant to protect victims actually re-victimises victims."" Grima urged for amendments in the criminal code that would allow victims to Another parent - Isabelle Bonnici - who suffered ""the biggest loss a mother could suffer"" when her son Jean Paul Sofia was killed in a construction site, also addressed the event.   ""I was living a serene life planning what I'm going to cook for Jean Paul and what I'll get him for Christmas, when my life was suddenly turned upside down,"" she said, reminding those present that apart from her son losing his life, fellow workers were seriously injured and suffered disabilities. Wrapping up the event, PN leader Bernard Grech warned fellow politicians that social justice was not just a topic to discuss but a reality that people faced everyday. He flagged issues of lack of access to children, homeless people who don't qualify for housing, long waiting times at hospital suffered by patients before they are admitted to a ward and failure to trace people that are meant to be charged in court. Referring to Bonnici's persistence with politicians for justice, Grech said that politicians will be held accountable not for being present for Thursday's discussion in parliament, but for their behaviour in the coming months. Fellow MP and Social Solidarity Minister Michael Falzon commended Bartolo for organising the event. He noted that no minister could resolve all injustices. ""No one will solve all problems, but we can all make a big difference in someone's life,"" he said, quoting Mother Theresa. He assured participants he had taken note of their pleas, but reminded them of the separation of powers and that he could therefore not comment on judiciary delays. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/grant-citizenship-children-born-brought-malta-parliament-urged.1085404
Man accused of stabbing his brother-in-law while he slept ,Jessica Arena,"A 63-year-old man was remanded in custody on Thursday after denying stabbing his brother-in-law while he slept. Robert Frendo from Paola was arraigned in front of Magistrate Nadine Lia on Thursday charged with the attempted murder of his brother-in-law, Joseph Seychell, in the house where they both live. Inspector Keith Rizzo told the court he had responded to a request for assistance on February 20 in Triq Lampuka in Paola, where he found an ambulance on site and a doctor treating the alleged victim. Seychell told the inspector that Frendo had stabbed him multiple times in his sleep. Later, Rizzo said that Frendo was apprehended by the police and he spoke to him at the police station where he informed him of his rights. The accused was also charged with causing grievous injuries to Seychell and causing him to fear violence as well as carrying a weapon. When asked to confirm his identity to the court, Frendo paused before declaring that he was “guilty”, although he had not been asked to enter a plea. Before the standard questioning could continue, the proceedings were briefly suspended as Frendo was hauled away by his lawyer. Subsequently, after proceedings continued, lawyer Mark Mifsud Cutajar replied that the accused was choosing to plead not guilty and that the accused had previously “misunderstood the court”. Addressing members of the media present in the courtroom, Magistrate Lia told reporters that the case should not be “prejudicated” by Frendo’s earlier statement and that the official plea was the one registered after consultation with his lawyer. No request for bail was made. Police inspectors Kurt Farrugia and Keith Rizzo as well as AG lawyers Nathaniel Falzon and Ramon Bonett Sladden prosecuted. Lawyers Franco Debono, Adreana Zammit and Marion Camilleri appeared parte civile.   You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/man-accused-stabbing-brotherinlaw-slept.1085398
Eight bays had sewage leaks last year,Daniel Ellul,"Environmental authorities found sewage leaking into eight bays across Malta last year.   Manoel Island, Golden Bay, Birżebbuġa, Wied iż-Żurrieq and Mġarr ix-Xini all had one confirmed case of drainage leakage in 2023. Ta' Xbiex and Xemxija had two cases each.  Replying to a parliamentary question by Nationalist MP Rebekah Borg, Environment Minister Miriam Dalli said the Environment and Resources Authority had received 17 reports of leaked sewage.  ""There were 10 cases that visually showed they could be sewage, and therefore, the cases were referred to the Water Services Corporation as the entity responsible for drainage infrastructure and the Health Department, which is the competent authority for monitoring seawater quality for swimming,"" Dalli said.  Manoel Island. Photo: Matthew Mirabelli        Health authorities also flagged several bathing spots that were not reported to ERA for sewage spillage last year.  In September, bathers were urged to avoid St George's Bay in St Julian's and the Perched Beach in St Paul's Bay after health authorities detected EColi in the water. In August, EColi and I. Enterococci bacteria were also found in Ballutta Bay.  A report published last year by the European Environment Agency found that 94.3% of Malta's bathing waters were of ""excellent quality"".  The remaining 5.7% of the 87 Maltese bathing sites tested were deemed ""good quality"".  Malta's seawater quality, however, seems to be on a downward trend. The report covering 2021 found 96.6% of Maltese waters to be excellent. In 2020, that figure was at 97.7%. And 98.9% of Malta's seawater was excellent in a report for 2019.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/eight-bays-sewage-leaks-last-year.1085386
EU Court rules against Malta on second-hand car taxation,Matthew Xuereb,"The European Court of Justice has ruled that Malta’s second-hand vehicle taxation system was in breach of EU law as cars purchased from other member states are taxed more heavily compared to domestic cars. In a ruling on Thursday, the court found that Malta’s taxation scheme for motor vehicles registered before January 1, 2009 was incompatible with an EU law provision that prohibits taxes favourable to domestic products over imports from other member states. Malta was taken to court in 2021 by the European Commission, which asked the court to rule on whether Malta failed in its obligations under EU law. In its decision, the court found that Malta’s vehicle taxation system for second-hand motor vehicles was favourable to motor vehicles that are registered domestically, over those registered in other member states before 2009. A provision of EU law prohibits national taxation systems that tax goods imported from other member states more than similar domestic products. This provision also prohibits the indirect favouring of domestic products over similar imported products. It found that the annual circulation tax for motor vehicles that are registered in other member states before January 2009 and subsequently imported into Malta is fixed at a higher rate than that applied to vehicles registered before that date in Malta. The rules had been put in place by the government in 2008 in a bid to protect local car import companies from far cheaper second-hand imports from the EU.   In 2019, the European Commission sent a letter of formal notice to Malta, stating the national legislation laying down the framework for the annual circulation tax of second-hand motor vehicles was in breach of the EU provision. It followed this up with a formal court case filed in 2021. Malta argued that the tax framework was based on the “polluter pays” principle, favouring newer, smaller and cleaner vehicles. Malta further argued that the proposed reformed ACT system would have adverse consequences for vehicle owners of second-hand vehicles registered in Malta before 2009 in that these vehicles would be devalued and the owners would be subject to a higher tax. The Commission, on the other hand, emphasised that the relevant EU provision lays down an obligation on every member state not to impose unfavourable taxation systems on imported goods in favour of similar domestic goods. The Commission further contended that Malta should amend the national legislation to equalise the annual circulation tax rates for motor vehicles registered in another member state and those registered in Malta before the relevant date. In Thursday’s judgment, the court found Malta in failure of its obligations under EU law, affirming the purpose of the relevant EU provision in guaranteeing equality between internal taxation on national products and imported products, and the importance of this in EU competition law and the freedom of movement of goods. The Court ruled that Malta’s annual taxation system could not be considered compatible with EU law since it was aimed at excluding imported products by way of a bigger tax than that imposed on domestic goods. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/eu-court-rules-malta-secondhand-car-taxation.1085362
Inflation stays at constant 3.7%,Times of Malta,"The annual rate of inflation as measured by the Harmonised Index of Consumer Prices in January remained at a constant rate of 3.7%, according to the National Statistics Office. The NSO said on Thursday that the highest annual inflation rates in January were recorded in food and non-alcoholic beverages (10.1%) and education (5.6%). On the other hand, the lowest annual inflation rates were registered in communication (-9.4%) and clothing and footwear (-0.8%). The largest upward impact on annual inflation in January was registered in the food and non-alcoholic beverages Index (+1.8 percentage points), largely due to higher vegetable prices. The second and third largest impacts were measured in the restaurants and hotels Index (+0.69 percentage points) and the housing, water, electricity, gas and other fuels Index (+0.44 percentage points), mainly on account of higher prices of restaurant services and rents, respectively. The downward impacts on annual inflation were registered in the communication Index (-0.38 percentage points), the clothing and footwear Index (-0.04 percentage points) and the recreation and culture Index (-0.03 percentage points), mainly reflecting lower prices of mobile phone services, footwear and package holidays, respectively (Chart 2). You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/inflation-stays-constant-37.1085374
