Title,Author,Body,URL
Sarah Bajada Brings Back Figolli Decorating Kits: Raise For Puttinu,,"Maltese TV Presenter and author Sarah Bajada has announced that, for the second consecutive year, she is bringing her figolli decorating kits back to raise money for Puttinu Cares. ‘This kit includes everything your little ones need to decorate delicious vanilla cookies at home, and it’s perfect for busy mums who want to spend quality time with their children during the holidays.’All proceeds which come from the kits will be going to Puttinu Cares so that one would be helping those in need while having fun with the family. Last year, Sarah managed to raise €1,000 for the NGO, presenting the cheque to the organisation. After such a success, Sarah hopes to bring more joy to not only kids decorating figolli but also those battling cancer. #MaltaDaily ",https://maltadaily.mt/sarah-bajada-brings-back-figolli-decorating-kits-raise-for-puttinu/
Ian Borg Pushes for Stronger Collaboration at OSCE Assembly,,"Minister Ian Borg Addresses OSCE Parliamentary AssemblyIan Borg, as the President of the OSCE, emphasized Malta’s belief in fostering strong collaboration between member countries’ governments and parliamentary structures to maintain the organization’s effectiveness. Speaking at the OSCE Parliamentary Assembly in Vienna, Austria, Borg highlighted the crucial role of this independent institution in promoting dialogue among parliamentarians from OSCE member states.Reflecting on the current challenges facing the OSCE, Borg underscored the necessity for the organization to operate effectively, particularly in turbulent times. He emphasized the significance of the assembly’s potential and the critical importance of addressing parliamentary concerns.Borg also addressed recent events, noting the second anniversary of the Russian invasion of Ukraine and affirming Malta’s commitment to prioritizing the cessation of the conflict. He reiterated that conflicts and tensions in the region and beyond will remain high on the OSCE agenda.Regarding Malta’s presidency, Borg outlined priorities focused on “Strengthening Resilience and Enhancing Security” across all dimensions of the OSCE. Additionally, he engaged in meetings with various stakeholders, including the President and Secretary-General of the General Assembly, as well as with the Maltese Parliamentary delegation and internal OSCE officials.",https://maltadaily.mt/ian-borg-pushes-for-stronger-collaboration-at-osce-assembly/
Kusi Dismark Deported From Malta After 13 Year Stay,,"Kusi Dismark bid farewell to Malta on Friday morning, concluding a residency spanning 13 years in the country, despite pleas for reconsideration based on humanitarian grounds.The protest happening this Sunday by a number of activist groups will still be taking place and calling for stability and an end to uncertainty for long-term migrants living and working in Malta. The activists, which include Moviment Graffitti, Dance Beyond Borders, SOS Malta, aditus foundation and others, will meet on Sunday 25th February at 15:00 at Ħamrun Square and will walk to Valletta to make demands to parliament. The 37-year-old reportedly made the decision to return voluntarily to Ghana after being detained on January 21 under a removal order. Although initially denied asylum upon arrival in Malta in 2011, he was permitted to work, pay taxes, and contribute socially.Having invested in his education and established a hair salon in Ħamrun, Kusi had plans to expand his business until his recent arrest. Following a meeting with the Principal Immigration Officer alongside his lawyers Gianluca Cappitta and Adrian Sciberras, Kusi opted for voluntary return to Ghana, a decision made after careful consultation.Despite enduring statelessness for over 12 years, Kusi won’t face a ban from re-entering Malta due to intervention from the Home Affairs Ministry. His departure underscores the plight of stateless individuals on the island, emphasizing the need for initiatives to regularize their legal status.While his aspirations for Europe are temporarily on hold, Kusi finds solace in the prospect of reuniting with his mother, whom he’s been separated from during his time away from Ghana. Support remains steadfast for his journey ahead.Various voices, including the Church’s Migrants Commission director and European Parliament president Roberta Metsola, have echoed support for Kusi, criticizing the decision to deport him. The call for compassionate immigration policies resonates strongly, emphasizing the human aspect behind legal frameworks.#MaltaDaily ",https://maltadaily.mt/kusi-dismark-deported-from-malta-after-13-year-stay/
Rescue Mission As Migrant Boat Capsizes Off Malta,,"Armed Forces of Malta (AFM) personnel rescued a group of distressed individuals at sea, bringing them to Sa Maison’s AFM naval base for medical attention at Mater Dei Hospital. Tragically, several victims succumbed during the rescue mission. The rescued individuals arrived in Malta around midday, with ambulances and Civil Protection Department personnel providing immediate aid.During the rescue operation, a boat carrying over 30 migrants capsized, resulting in at least five fatalities and numerous injuries. The incident occurred after the migrants sought assistance while crossing to Europe. Despite AFM’s prompt response, the vessel capsized during the rescue effort.Civil Protection Department personnel assisted in bringing the casualties ashore at Hay Wharf, where three ambulances awaited. TVM News reported that one survivor required medical treatment after ingesting fuel while at sea.A magisterial inquiry has been initiated, and further details are expected from the AFM. #MaltaDaily ",https://maltadaily.mt/rescue-mission-as-migrant-boat-capsizes-off-malta/
A Storm This Sunday: A Windy And Cloudy Weekend Ahead,,"Get your raincoats ready as according to weather reports, this Sunday 26th February 2024, is set to bring thundery showers, with temperatures as low as 13 degrees celsius. Thankfully the thundery showers will only last till Sunday but will bring along with it F6 wind for the rest of the week. Local weather page It-Temp Madwarna posted the following:‘Jonqos żewġ episodji instabbli sa tmiem Frar.  24-25 u 29 ta’ Frar’Will this be ruining your weekend plans?#MaltaDaily",https://maltadaily.mt/a-storm-this-sunday-a-windy-and-cloudy-weekend-ahead/
Puttinu London Houses For Patients Completely Full,,"NGO Puttinu Cares to Facebook to announce that their London buildings are completely full up, leading to the organisation having to turn down patients wishing to stay there. In a heartfelt post, the NGO explained that the length of stay of patients is getting longer and some have been occupying apartments for over a year due to their poor condition. Puttinu Cares explained that supporting the organisation in the carrying out of a new project in central London would help find accommodation for future patients and their loved ones. ‘It really breaks our heart to turn anyone away’ the NGO said in a statement, with many expressing their desire to help the organisation raise more money to continue patients suffering with cancer. #MaltaDaily ",https://maltadaily.mt/puttinu-london-houses-for-patients-completely-full/
Fr Luke Seguna Claims Right To Fair Trial Being Infringed,,"According to Seguna’s legal representative, an urgent application was filed by Fr. Luke Seguna this morning, alleging a severe infringement upon his right to a fair trial, reaching an irreversible point. It is asserted that during the initial moments of his arrest, individuals purportedly linked to the Curia gained access to the Parish Priest’s House in Marsaxlokk, where they either dispersed, destroyed, or tampered with crucial documentary evidence stored in Fr. Luke’s office.Following Fr. Luke’s release on bail during the initial proceedings, the Court additionally imposed a restriction forbidding the Priest from being present in the same locality. Furthermore, during the latest hearing, a court-appointed expert confirmed the disappearance of Fr. Luke’s laptop, which had been presented in court. Strangely, the laptop had already been examined by the police prior to its court presentation, without any judicial scrutiny.There is widespread agreement nationally that the presiding Magistrate plays a pivotal role in preventing such injustices. Additionally, Fr. Luke asserts that his right to a fair trial is further compromised as the police failed to inform the Duty Magistrate of their actions, constituting a flagrant violation of the law.#MaltaDaily ",https://maltadaily.mt/fr-luke-seguna-claims-right-to-fair-trial-being-infringed/
Maltese health minister visits Qatar health ministry,,"Between the 21st and 23rd of February 2024, Maltese Minister for Health and Active Aging Dr. Jo Etienne Abela along with a group from the health ministry and from the Malta Medicines Authority visited the State of Qatar.During this visit the Maltese delegation and Dr. Jo Etienne Abela had the pleasure to meet his Qatari counterpart, H.E. Hanan Mohamed Al Kuwari, Minister of Public Health of the State of Qatar.  Throughout their meeting the two managed to discuss potential collaborations between the two countries, share their various experiences to each other and interchanged any ideas they might have on the health sector.Hon. Abela additionally toured Hamad Medical City, Qatar Rehabilitation Centre, Rumailah Hospital, as well as Enaya and DAAM Specialized Care Centres, engaging in discussions with Qatar Pharma, a prominent pharmaceutical entity in Qatar.#MaltaDaily",https://maltadaily.mt/maltese-health-minister-visits-qatar-health-ministry/
10 Kilos Of Cannabis Confiscated In Drug Bust,,"A 40 year old Romanian man was arrested with the alleged importation of cannabis. Police collected information related to a person’s involvement in drug importation and, on Wednesday, the authorities stopped the man whilst he was in his vehicle in Swieqi. The information yielded fruit as a search in the vehicle resulted in the finding of 10 kilograms of a substance suspected to be cannabis, separated in various packets ready for trafficking. Customs officers assisted in the drug bust. An inquiry has been opened as the man is being held in the Police general headquarters of Furjana. He is expected to be arraigned in court today at around 1100hrs. Police investigations are ongoing. #MaltaDaily ",https://maltadaily.mt/10-kilos-of-cannabis-confiscated-in-drug-bust/
84.3% Agree Foreigners In Malta Should Learn Maltese Language,,"A majority of respondents in a new survey agree with the idea that foreigners living in Malta should learn the Maltese language. In a new survey by Vincent Marmara on the State of the Maltese language and commissioned by the ‘Ċentru tal-Ilsien Malti’ headed by Norma Saliba, it was found that, out of 600 interviewed persons, 84.3% should learn the Maltese language. Only 6% voted for no, whereas 9.8% said it does not matter. The older age groups were most likely to vote that, yes, foreigners in Malta should learn the Maltese language. 95.5% of those aged over 66 voted for yes, with the lowest amounts of ‘yes’ registered in the 26 to 35 age group. Meanwhile, more women voted for yes at 86.9%, whereas 81.5% men voted for yes. 12.1% of men said it does not make a difference, with 7.5% of women responding the same. #MaltaDaily ",https://maltadaily.mt/84-3-agree-foreigners-in-malta-should-learn-maltese-language/
