Title,Author,Body,URL
Opposition wants Vitals charges included in its civil case about hospitals' deal,Edwina Brincat,"The Opposition wants criminal charges recently filed against people targeted by the Vitals inquiry to be included - as evidence - in its civil case over the state’s inaction to recover funds defrauded in the annulled hospitals’ deal. PN leader Bernard Grech filed an application on Wednesday in proceedings wherein the Opposition is claiming the State Advocate - as “the last man standing in our constitutional system” - is empowered and duty-bound to take action against present and past government officials involved in the deal. During the previous sitting, the government - as an intervenor in the suit - was granted six days to indicate any witnesses it intended to summon after requesting more time to produce evidence.  But the Opposition is now seeking the court’s permission to produce even more evidence.  News that the Vitals inquiry has been concluded emerged last week during constitutional proceedings in which former Prime Minister Joseph Muscat is claiming his fundamental rights were breached through the handling of that inquiry by Magistrate Gabriella Vella.  The Registrar of the Criminal Courts testified that 78 boxes of evidence had been deposited at the court registry and handed over to the Attorney General.  Since then, prosecutors have filed criminal charges against a number of top politicians, including Muscat and others allegedly linked to the fraudulent deal.  The Opposition is now claiming that those charges - as well as an attachment and investigation order allegedly issued against a number of suspects linked to the deal - would be “useful” to the judge presiding over its case concerning the state’s inaction in recovering the defrauded funds.  Those criminal court documents were “intimately connected” to the merits of their case and not only were to be acknowledged by the judge but were also to be exhibited in evidence. Since recent developments took place after the Opposition wrapped up its evidence, the court’s authorisation was necessary for that documentation to be allowed in evidence. The Opposition therefore asked Mr Justice Toni Abela to grant it permission to summon the Registrar of the Criminal Courts to present the relative criminal charges,attachment and investigation order.  Lawyers Edward Debono and Nicholas Debono signed the application.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/opposition-wants-vitals-charges-included-civil-case-hospitals-deal.1092129
Man accused of trying to bite police officer after nightclub drug bust,Jessica Arena,"A 29-year-old man was remanded in custody on Wednesday after a court heard how he tried to bite the police officer who was trying to arrest him after allegedly catching him with drugs in a Ta' Qali nightclub.  Sebastian Fiedler, an oil rig worker from Żabbar, was arraigned in front of Magistrate Joseph Gatt accused of possessing cocaine, ecstasy and ketamine that was not for his personal use, violently resisting arrest and breaching bail conditions set out in a previous case, amongst others.  He pleaded not guilty to the charges.  Police inspector Francesca Calleja told the court that the incident occurred in May at a nightclub where police doing an inspection spotted the accused acting suspiciously.  As he noticed the officers approaching him, the accused dropped a sachet with traces of white powder and a €50 note from his hands to the floor, she continued.  This prompted the police to search and arrest Fiedler, during which he allegedly violently resisted the officers and attempted to bite one of them.  He was subsequently taken to the Birkirkara police station where a search of his person revealed four sachets of a substance thought to be cocaine, one sachet full of pink powder suspected to be ketamine and 24 pills of suspected ecstasy. Some €460 in cash was also found on his person. Calleja said she was subsequently informed that Fiedler is restricted under bail conditions in a separate case and police decided to search his home in Żabbar.  There, police found a butterfly knife and a switchblade, which are illegal to own in Malta.  As the police and the defence went over the circumstances of the arrest, some confusion arose as to whether the drugs retrieved from the accused were found on his person or not.  Lawyer Franco Debono said that according to his Fiedler, the sachets and pills were found on the floor of the nightclub, where many other people were.  But Calleja vehemently denied this version of events, insisting that the substances found had been pulled out of Fiedler’s pockets by the police.  “He dropped the first sachet, which only contained traces, to the ground and started to push it with his foot,” she said.  “It was when he was escorted to the police station that he was searched properly and the drugs were found on him,” Calleja added, as Fiedler shook his head in the negative.  A request for bail was objected to by the prosecution, who said that the seriousness of the charges was underscored by the fact it was committed at a place frequented by youths. Furthermore, the man had been accused of a crime while under separate bail conditions, proving he was not trustworthy or able to abide by set conditions, particularly when he tried to injure a police officer, Calleja said.  Debono countered by saying that, while the defence was still contesting the manner in which the drugs were found, the amounts were nonetheless small and Fiedler had not been accused of trafficking.  He also pointed out that between his arrest and arraignment on Wednesday, the police had seen fit to grant the accused police bail while they continued to investigate and he had no problem abiding by conditions set during this time.  “Here the court has concrete proof that when he was trusted by the police inspector with police bail, he obeyed,” Debono said.  Fiedler, he said, has successfully completed drug court after getting into trouble with the law a few years ago. Since then he had completely turned his life around, having a job a stable relationship and a child, Debono said. The knives found in his possession, Debono continued, once belonged to the accused’s Swiss father, who collected Swiss knives. They had been found under Fiedler’s bed where they had been for many years.  Debono also pointed out there were no civilian witnesses to testify in this case and all evidence had already been captured by police body cams.  After hearing submissions, the court decided that, due to the nature of the crimes, it would be too early to grant Fiedler bail. He rejected the request and remanded him in custody.  He also granted a protection order in favour of the police officer involved in the arrest.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/man-accused-trying-bite-police-officer-nightclub-drug-bust.1092127
"Man accused of raping former partner, tracking her car denied bail",Jessica Arena,"A man was charged with raping his former partner on Wednesday after the woman disclosed that she had been assaulted while reporting a campaign of harassment to the police.  Technician Mathihul Akmal Mohamed Jabir, 32, who is a Sri Lankan national residing in Gżira, was arraigned in front of Magistrate Joseph Gatt and accused of raping his partner while they were in a relationship as well as harassing her, spying on her and causing her to fear violence, among other charges.  Jabir pleaded not guilty.  Police inspector John Spiteri told court that on March 19 the woman reported her ex-boyfriend for harassment and stalking.  While speaking to police officers and describing the behaviour that she had allegedly suffered at the hands of the accused, she disclosed that on one occasion, on February 24, she had been “forced to engage in sexual conduct against her will”.  Subsequently, police attempted to arrest the accused, but it turned out that Jabir was already airborne, having boarded a flight to his native Sri Lanka.  Upon discovering that the accused was due to fly back to Malta on Wednesday morning, he was apprehended at the airport upon arrival.  Objecting to a request for bail, Spiteri said that, aside from the gravity of the charges and civilian witnesses having yet to testify, Jabir posed a real threat of absconding not only because he has minimal ties to Malta but because the country also has no bilateral agreements with Sri Lanka. Should he leave the island for good, the court has no assurance that justice will be done, he said.  Additionally, Spiteri said there was still a fear that he could interfere with witnesses, particularly as the alleged victim herself is still to testify, and Jabir has been accused of installing a tracking device in her car.  Making a case for bail, defence lawyer Joseph Calleja Parnis said that while the most serious crime of rape is being used in the charges as being grave enough to deny bail, the victim herself had not approached police about the incident in question and it had only come up as a “side note”.  While the alleged rape had occurred on February 24, she only went to the police on March 19, he pointed out.  “If she was really serious about reporting this rape, it's something you go and report there and then or the next day and not a month later,” he said.  Other than that, the most serious concern to be considered was harassment and Jabir should not be denied bail on a harassment charge, his lawyer argued.  The accused has adequate ties to Malta, a steady job and a residence card and should not be denied bail for being a foreigner, Calleja Parnis added.  He had gone to Sri Lanka to visit his family and also because he was going through a rough time with his partner, the lawyer said, adding that he had returned to Malta of his own volition because he was due in court this morning in a district sitting related to the same circumstances.  Spiteri countered the defence’s claims, saying the situation was already very difficult for the alleged victim to deal with.  “Marital rape or rape within a relationship is already very hard to report from the onset,” he said adding that she had been driven to file a report because she was “fed up” and could no longer handle the accused’s behaviour towards her.  After hearing submissions, Magistrate Gatt ruled that it would be “unwise” to grant bail at this stage given the gravity of the charges and because the court was not convinced that Jabir was capable of adhering to bail conditions.  He also granted a protection order in favour of the alleged victim.  AG Lawyer Cynthia Tomasuolo and police inspectors Sherona Buhagiar and John Spiteri prosecuted.  Lawyer Joseph Calleja Parnis appeared for the accused. Lawyers Jacob Magri and Arthur Azzopardi appeared parte civile on behalf of the alleged victim.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/man-accused-raping-former-partner-tracking-car-denied-bail.1092119
"Fearne, Scicluna and others to be charged with fraud over hospitals scandal",Bertrand Borg,"Chris Fearne, Edward Scicluna, three top civil servants and nine others are to face charges of fraud, misappropriation and fraudulent gain in connection with the hospitals' deal, Times of Malta can reveal. Malta’s deputy prime minister and central bank governor are among a group of 14 people and two companies listed in a second charge sheet related to the Vitals deal that was filed in court on Monday. The second group of people charged in connection with the deal do not stand accused of having taken bribes or trading in influence, though they still face serious charges.  The list – which is separate to one that features Joseph Muscat, Konrad Mizzi, Keith Schembri and others – includes lawyers, civil servants and people who served on the adjudication committee that awarded the lucrative deal to run three state hospitals to Vitals Global Healthcare. It lists two former permanent secretaries, Alfred Camilleri and Joseph Rapa, and a current one in Ronald Mizzi, adjudication committee members James Camenzuli, Manuel Castagna and Robert Borg, financial controller Kenneth Deguara and five lawyers: Kevin Deguara, Jean Carl Farrugia, Aron Mifsud Bonnici, Deborah Anne Chappell and Bradley Gatt. Also cited is law firm DF Advocates, which is led by Kevin Deguara and Farrugia with Kenneth Deguara as its Chief Financial Officer, and its sister firm DF Corporate Advisory. The firm served as legal advisers to Vitals as well its medical supplier Technoline and was raided by police in 2021. The charge sheet adds to a political earthquake that has rocked Malta's political establishment.  Suspicions about the deal to privatise three state hospitals led to multiple investigations and court cases.  In 2020, the National Audit Office concluded that Vitals should have been disqualified from the deal altogether. In 2023, a civil court annulled the entire deal following a case filed by then-Opposition leader Adrian Delia.  Now, a years-long magisterial inquiry into ministerial crimes has culminated in criminal charges for some of Malta’s highest-profile politicians. It remains unclear on what basis prosecutors have charged all those cited, as that inquiry remains under wraps. Prime Minister Robert Abela has sought to dismiss the inquiry that triggered the charges as politically motivated.  But while he has implied that he has full faith in Fearne and will not be sacking him, the criminal charges are likely to derail the deputy prime minister's plans of becoming an EU Commissioner later this year. Similarly, it is unclear how central bank governor Scicluna will be able to sit on the European Central Bank’s governing council while also defending himself from criminal charges of fraud. All those cited are to be charged with fraud amounting to over €5,000 and having made fraudulent gains. Fearne, Scicluna, Camilleri, Mizzi, Rapa and Chappell will also face charges of misappropriation. The three top civil servants will also face charges of having committed crimes they were duty-bound to prevent. Chappell, who served as Vitals' in-house legal counsel, the Deguaras and Jean Carl Farrugia will also face money laundering charges. Kevin Deguara, Farrugia, Chappell, Castagna and Mifsud Bonnici, who is close to Konrad Mizzi, face charges of having actively participated in a criminal activity and criminal association. Chappell and Kenneth Deguara will answer to charges of document fraud, including documents related to VAT. Those accused will be arraigned before Magistrate Rachel Montebello at an as-yet unspecified date.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/fearne-scicluna-others-charged-fraud-hospitals-scandal.1092085
"Armed robbery reported in St Paul's Bay, thief still on the run",Times of Malta,"The police are searching for a man who carried out an armed robbery in a gambling shop in St Paul’s Bay on Tuesday. In a statement, the police said it was informed of a robbery at around 1.30 pm in Triq Mosta, St Paul’s Bay. From preliminary searches, the police said the man’s face was covered and allegedly was armed with a knife. The thief demanded cash from the 36-year-old Albanian employee. The alleged thief fled the scene after stealing an amount of cash. The employee was not injured. Magistrate Joseph Mifsud has been informed about the case and an inquiry has been launched. Police investigations are still ongoing. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/armed-robbery-reported-st-paul-bay-thief-still-run.1092083
Man facing 700g heroin charge granted bail,Times of Malta,"A man facing charges in connection with a 700g heroin bust has been granted bail. Pierre Cremona, 56, was driving a car that was searched by police and found to contain sachets of heroin. Officers then searched a Mosta house where they found Cremona’s 24-year-old son and a bag containing 700g of the drug. Cremona, his son and a man who was accompanying him in the car were all arrested and charged with heroin possession not intended for their personal use. Late last month, the car’s passenger, Stefano Montebello, walked away a free man after a court declared his arrest null and void. Montebello’s lawyers proved that prosecutors had failed to obtain a warrant for his arrest and failed to inform him about the reason he was being arrested. Cremona's son, Owen, was also granted bail upon arraignment.  This week, a court heard the testimony of various police officers involved in the drug bust. At the end of the hearing and following a request by his lawyers, magistrate Elaine Rizzo agreed to grant Cremona bail against a €5,000 deposit and €10,000 personal guarantee. He must also sign a bail book daily at Qormi police station and remain indoors between 9pm and 6am, the court decreed. Lawyers Franco Debono, Marion Camilleri and Adreana Zammit are representing Cremona.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/man-facing-700g-heroin-charge-granted-bail.1092072
Muscat on the warpath: ‘Those who did not fix this injustice will be judged',Times of Malta,"Joseph Muscat lashed out on Monday following news that he is to face criminal charges, saying the police and attorney general had breached his right to a fair hearing. Muscat noted that he had not been questioned by investigators before charges against him and others were filed in court. He described that as an “obscenity and abomination”.  “Those who dirtied themselves with this injustice or looked the other way instead of fixing it will be judged harshly by the people in the short-term, justice in the long run and by history forever,” Muscat wrote on Facebook.   Several Labour insiders told Times of Malta those words appeared to be a veiled attack on Prime Minister Robert Abela and his ministers. It is unusual for prosecutors to file criminal charges against suspects without having first questioned them, criminal lawyers told Times of Malta. They said it is also unusual for people charged with crimes related to fraud or money laundering to be arraigned through a court summons, rather than under arrest. Suspects arraigned under summons are free to return home after they plead not guilty and do not have to request bail. Times of Malta reported on Monday that prosecutors from the office of Attorney General Victoria Buttigieg have filed criminal charges against Muscat, Konrad Mizzi, Keith Schembri and more than a dozen other individuals and companies. They are suspected of having committed crimes in connection with the now-annulled deal to privatise three state hospitals. That deal was negotiated and signed by the Muscat government and annulled by a civil court last year, which found that it was tainted by fraud and that top government officials had colluded against the national interest in the way they handled it. A magisterial inquiry that was tasked with assessing whether Muscat, his ministers and top officials committed crimes in connection with the deal was concluded last week. Muscat has spent the past year battling the inquiry process, saying the magistrate that led it is biased and out to get him. Last week, he said the state’s institutions “are working against Labourites”. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/muscat-warpath-those-fix-injustice-judged.1092016
"Vitals inquiry: AG files charges against Muscat, Mizzi, Schembri and others",Times of Malta,"Updated 4.05pm Joseph Muscat, Konrad Mizzi and Keith Schembri are among roughly 19 individuals and companies named in criminal charges filed on Monday concerning the scandal-racked deal to privatise three state hospitals. Times of Malta understands the former prime minister, his chief staff and ex-senior minister are to be arraigned under summons, not arrest – meaning they will be expected to appear in court on the date of their arraignment and that they will be able to return home following their arraignment.  Sources said the charges were filed in court on Monday afternoon by three lawyers from the office of Attorney General Victoria Buttigieg.  Individuals and companies to be charged have been divided into three lots, though it remains unclear which crimes have been cited on each of those lots. Muscat, Mizzi and Schembri are understood to feature in the first of those three charge sheets, along with a number of others.  Repubblika’s honorary president Robert Aquilina told Times of Malta that he received confirmation from Buttigieg’s office via email that all the people mentioned by the inquiring magistrate will be charged. The inquiry, which was led by Magistrate Gabriella Vella and tasked with determining whether Muscat, his ministers or top officials committed crimes in connection with the deal to hand three state hospitals to Vitals Global Healthcare, was completed 10 days ago. Muscat immediately said the inquiry was a “political vendetta” and that he expected to be charged. Others believed to have been involved, including Mizzi, Schembri and Central Bank governor Edward Scicluna, have not commented. Chris Fearne, Malta's nominee to the European Commission and who is also believed to be among  those cited in the inquiry, has insisted he had nothing to hide.  Vitals was a company with no history of business and exited the privatisation deal after a few years, handing over operations to US healthcare giants Steward Health Care.  But Steward also did not honour contractual obligations, and last year a court annulled the deal on the basis of fraud. Steward - which is locked in a dispute with the government over a €100m exit fee it says it is owed - filed for bankruptcy in the US earlier on Monday. In a Facebook post, Joseph Muscat noted that police had not questioned him before charges were filed.   ""This is no longer just a vendetta, it is disgusting and an abomination. Tens of people's lives are being tossed into a bureaucratic dump for years, just to suit others,"" he wrote.  ""Anyone who is involved in this injustice or who looked the other way instead of trying to fix it will be judged harshly by the people, justice and history,"" Muscat said.    With the attorney general having now filed criminal charges in court, it is up to the judiciary to manage the next steps in the process.   The criminal charges that have been filed will be handled by the court registrar, who will allocate them to a magistrate at random, by lot.  RELATED STORIES  Whichever magistrate is assigned the case will then set a date for arraignment and notify the accused of the charges they face, and the date when the arraignments will take place. The inquiry that triggered the AG to file criminal charges remains secret, though Opposition leader Bernard Grech has said that it is clear that Prime Minister Robert Abela has a copy and is using it for his own political ends.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing.",https://timesofmalta.com/article/vitals-inquiry-ag-files-charges-muscat-mizzi-schembri-others.1092014
Wanted Romanian prince claims extradition would breach his rights,Edwina Brincat,"Lawyers for a Romanian prince battling extradition before the Maltese courts claimed on Monday the request by the Romanian authorities was based on a corrupt decision which, if executed, would result in a breach of fundamental rights.  Prince Paul-Philippe al Romaniei, the 75-year-old member of the Romanian royal family, fled Romania in 2020 following his conviction for corruption related to the illegal restitution of real estate near Bucharest, to which authorities said he falsely claimed ownership.  He was sentenced to a prison term of three years and four months.  The prince was taken into police custody just over a week ago while attending an event in Malta.  Upon arraignment last Monday, he did not consent to the extradition and was remanded in custody. A former French prosecutor and academic who was also actively involved in several EU anti-corruption missions testified via videoconference at the extradition proceedings. Describing the matter as “scandalous,” retired magistrate Serge Mackowiak said that he had met the prince a couple of times in the presence of his legal advisors. Following a detailed overview of the historical, political and legal saga surrounding the prince, the witness concluded that the European Arrest Warrant was null. The reasons were threefold.  That warrant was a result of political persecution, while the whole dispute stemmed from a Nazi edict dated 1941 which ordered the illegal confiscation of the royal family’s property. Moreover, the Romanian court that ordered the prince’s extradition was not lawfully constituted because two of the judges who ordered the extradition did not take the oath of allegiance.  A US attorney who assisted the prince for the past 12 years and who is also following the extradition case in Malta, also testified on Monday.  Besides seeking to overturn the prince’s 2020 conviction, lawyer Edward Griffin had also filed a case before the European Court of Human Rights. That case was still pending.  The prince’s conviction in Romania violated his right to a fair trial, due process and family rights, Griffin said. “They [Romanian authorities] say he is not the legitimate heir of Carol II. That’s ridiculous because so far all courts all over Europe held that he is the legitimate heir,” said Griffin. After the fall of the Communist regime, Prince Paul and his father returned to Romania to reclaim family property.  But they were met with the argument that even if entitled to the property, that property was not confiscated by the communist state but by the Nazis.  While the property feud continued, in 2022 Prince Paul was targeted by an EAW in Paris.  The Paris Court of Appeal turned down the request, citing “systematic deficiencies” in the Romanian judicial system.  That conclusion was reaffirmed by the Court of Cassation. The French courts refused to hand over the wanted person, pointing out a “real risk” that his fundamental rights would be violated.  The original official texts of those French judgments were presented in evidence by a lawyer from the Attorney General’s Office and a court expert was tasked to compare the originals to their English translation. When the hearing resumed after a few hours break, the expert reported that “on the whole, it [the translation] was very faithful, save for some typing mistakes, not semantic errors"". There was, however, one significant factor that was subsequently highlighted by the defence.  The judgment of the Romanian court stated the prince was “present” before that court on December 18, 2020.  “Do you remember where you were on that date,” asked defence lawyer Jason Azzopardi, as the prince briefly took the witness stand.  “I was in Portugal in front of a Portuguese judge to be declared administrator of my grandfather’s succession,” testified Prince Paul.  That meant that the Romantian court had “lied” when declaring that the prince was “present” and the EAW was then based on that lie, argued Azzopardi.  Moreover, the Romanian court was not lawfully constituted.  The French courts had refused to surrender the prince and a similar “diffusion” request channelled through Interpol, also failed.  Last year, retention of data about the prince was stated to be not legal because it did not comply with Interpol’s rules and was consequently to be “purged” from Interpol’s system.  A report by the Committee for the Prevention of Torture within the Council of Europe concluded that the situation in any Romanian prison “is definitely inhuman and degrading treatment”, added Azzopardi, citing a number of cases to support that argument. Defence lawyer Jose’ Herrera observed further that a court deciding an extradition request is endowed with “special powers” in terms of article 4 of the Framework Decision on European Arrest Warrants. Such a court has the power to go beyond ordinary legislation and also consider fundamental rights issues. The court, presided over by Magistrate Leonard Caruana, deferred the case for judgment next week.  Meanwhile, a separate application for bail was still pending.  The defence had filed a request at 9.15am on the day before the hearing. But their application reached the Magistrate’s chamber at 3.16pm.  That delay, attributed by the prince’s lawyers to the courts’ administrative system, was “unacceptable”.  It meant that the AG had not yet filed a reply about bail by the time the hearing got underway. The wanted person was “reliable and trustworthy”, had fully cooperated with investigators and could offer a fixed address for bail purposes.  “If need be he can sign [the bail book] every three hours,” argued Azzopardi, appealing to “justice and humanity”. “He has been hounded for many years” and was in preventive custody since his arrest last week.  The court directed the defence to indicate by means of a note a third party who could step in as surety for bail purposes, before deciding upon the matter. Inspector Roderick Spiteri prosecuted. Lawyers Jason Azzopardi, Jose’ Herrera, Kris Busietta and Martina Herrera were defence counsel.  You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. ",https://timesofmalta.com/article/wanted-romanian-prince-claims-extradition-breach-rights.1092010
Teenager who assaulted German MEP turns himself in,AFP,"A 17-year-old has turned himself in to police in Germany after an attack on a lawmaker that the country's leaders decried as a threat to democracy.   The teenager reported to police in the eastern city of Dresden early Sunday morning and said he was ""the perpetrator who had knocked down the SPD politician"", police said in a statement. Matthias Ecke, 41, European parliament lawmaker for Chancellor Olaf Scholz's Social Democrats (SPD), was set upon by four attackers as he put up EU election posters in Dresden on Friday night, according to police. Ecke was ""seriously injured"" and required an operation after the attack, his party said. Scholz on Saturday condemned the attack as a threat to democracy. ""We must never accept such acts of violence,"" he said. Ecke, who is head of the SPD's European election list in the Saxony region, was just the latest political target to be attacked in Germany. Police said a 28-year-old man putting up posters for the Greens had been ""punched"" and ""kicked"" earlier in the evening on the same Dresden street.  Last week two Greens deputies were abused while campaigning in Essen in western Germany and another was surrounded by dozens of demonstrators in her car in the east of the country.  According to provisional police figures, 2,790 crimes were committed against politicians in Germany in 2023, up from 1,806 the previous year, but less than the 2,840 recorded in 2021, when legislative elections took place. A group of activists against the far right has called for demonstrations against the attack on Ecke in Dresden and Berlin on Sunday, Der Spiegel magazine said. According to the Tagesspiegel newspaper, Interior Minister Nancy Faeser is planning to call a special conference with Germany's regional interior ministers next week to address violence against politicians. You can unsubscribe at any time by clicking the link in the footer of our emails. We use Mailchimp as our marketing platform. By subscribing, you acknowledge that your information will be transferred to Mailchimp for processing. Agence France-Presse is an international news agency with headquarters in Paris, France. It is the world's oldest news agency, having been founded in 1835.",https://timesofmalta.com/article/teenager-assaulted-german-mep-turns.1091974
